RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301035,GSOR301035,Cuba 65,Cuba,NSFTV37,IRGC10658,1882661,4.3,1,0,4,3,3,86,2,6.9,2.2,28.25,3,102,3,8.7,9.26,22
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301037,GSOR301037,NSF-TV 39,Unknown,NSFTV39,GSOR301037,1882662,6.7,22,0,6.5,4,4,95,4,6.6,2.7,16.41,8,150,9,9.4,9.16,26
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301038,GSOR301038,Dam,Thailand,NSFTV40,PI653075,1882663,7.2,25,0,5,2,4,96,6,5.9,3.1,23.69,4,115,3,8.3,8.22,0
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301039,GSOR301039,Darmali,Nepal,NSFTV41,IRGC27630,1882664,3.3,24,1,3.5,2,5,108,5,5,2.6,21.48,9,175,3,7.6,6.78,
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301040,GSOR301040,Dee Geo Woo Gen,Taiwan,NSFTV43,PI279131,1882665,6,19,0,3,2,4,92,2,5.6,2.7,28.84,2,99,7,9.1,7.58,27
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301041,GSOR301041,Dhala Shaitta,Bangladesh,NSFTV44,IRGC3686,1882666,3.3,22,0,1.5,4,3,82,2,6.2,2.2,31.52,6,136,9,8.5,8.41,25
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301042,GSOR301042,Dom Sufid,Iran,NSFTV45,PI584607,1882667,5.2,26,5,2.3,2,3,82,3,7,2.5,18.88,7,141,3,8.4,9.45,20
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301043,GSOR301043,Dourado Agulha,Brazil,NSFTV46,IRGC3297,1882668,5.5,24,5,2,1,4,96,3,7.4,2.6,25.47,5,127,3,8.6,9.85,23
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301045,GSOR301045,DV85,Bangladesh,NSFTV49,IRGC8839,1882669,5.5,19,9,6,6,4,96,6,5.2,2.4,24.55,5,127,7,8.6,7.15,27
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301046,GSOR301046,DZ78,Bangladesh,NSFTV50,IRGC8555,1882670,4.8,0,,,5,4,95,8,5.5,3,22.84,6,131,7,14.1,7.65,25
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301047,GSOR301047,Early Wataribune,Japan,NSFTV51,CIor9738,1882671,7.2,21,0,2.5,2,5,103,4,5.3,3,23.39,5,123,5,8.7,7.37,18
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301048,GSOR301048,Eh Ia Chiu,Taiwan,NSFTV52,IRGC8241,1882672,0,24,,5.5,2,,,1,4.7,2.8,28.67,1,88,3,8.3,6.71,
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301049,GSOR301049,Firooz,Iran,NSFTV53,IRGC39261,1882673,5.7,17,0,5.5,2,4,91,2,7.4,2.1,27.3,8,153,5,11.9,9.83,22
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301050,GSOR301050,Fortuna,United States,NSFTV54,CIor1344,1882674,5.9,13,0,3.5,2,5,109,2,7.2,2.5,23.61,6,133,5,8.1,9.48,24
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301051,GSOR301051,Gerdeh,Iran,NSFTV55,IRGC32300,1882675,6.9,23,7,3,2,2,75,4,6.5,2.7,20.5,3,101,3,7.9,8.94,17
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301052,GSOR301052,Geumobyeo,South Korea,NSFTV56,PI597018,1882676,6.8,26,0,6.5,3,2,74,5,5.1,2.8,24.34,0,77,3,8.1,7.16,
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301053,GSOR301053,NSF-TV 57,Unknown,NSFTV57,GSOR301053,1882677,5.7,18,0,6.5,2,4,90,2,5.3,2.6,25.69,6,137,7,9.1,7.33,24
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301054,GSOR301054,Ghati Kamma Nangarhar,Afghanistan,NSFTV58,IRGC58278,1882678,4.6,18,0,7.5,2,4,91,2,5.7,2.8,27.72,5,129,7,8.9,7.91,27
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301055,GSOR301055,Gogo Lempuk,Indonesia,NSFTV59,IRGC43394,1882679,4.3,25,9,4,2,3,82,2,5.1,2.9,24.08,6,137,5,7.5,7.27,19
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301056,GSOR301056,Gotak Gatik,Indonesia,NSFTV60,IRGC43397,1882680,5.1,23,1,3,2,3,82,2,5.7,2.8,31.95,5,129,5,8,7.84,19
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301057,GSOR301057,Guan-Yin-Tsan,China,NSFTV61,IRGC51300,1882681,5.5,23,0,2,3,3,89,2,5.7,2.6,19.7,7,142,9,,7.92,26
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301058,GSOR301058,Honduras,Honduras,NSFTV65,CIor1643,1882682,5.3,18,0,2.3,2,5,101,2,7.2,2.7,27.29,6,130,3,8.1,9.71,25
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301059,GSOR301059,Hsia Chioh Keh Tu,Taiwan,NSFTV66,IRGC8240,1882683,7,24,0,1,2,9,145,2,4.9,2.4,19.94,6,131,5,0,,21.48
RICE,NSF.PROJECT.OBS,Oryza sativa,GSOR301060,GSOR301060,Hu Lo Tao,China,NSFTV67,IRGC8264,1882684,7,23,0,1.5,3,6,115,4,5.4,3,22.9,5,124,5,8.5,7.44,
